week,forecast_net_revenue,forecast_gross_profit,forecast_gross_margin_pct
2026-09-22,156166.9013060838,74826.76559817404,47.91461248982278
2026-09-29,231235.47323397672,145794.855856843,63.05038488161363
2026-10-06,202147.90879023305,141963.79971257038,70.22768653020539
2026-10-13,161614.38450352385,136866.75527631748,84.68723603828299
2026-10-20,179848.24442198288,136866.75527631748,76.10124620131585
2026-10-27,143449.81129364274,137151.11358184298,95.60912792077065
2026-11-03,174382.9282081119,143187.62638950825,82.11103452662833
2026-11-10,181266.33934281004,136360.77452159257,75.226749222153
